Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos,
Kevin Millwood,34,20,16,29.8,24.9,27.3,61.6,241,472,22,57,4,27,0,21,0.121,0.158,0.178,0.336,-13,169,152,4.11,106,1.328,451,443,0,2720.1,2770,296,843,2083,*1,
Aubrey Huff,30,20,13,20.5,22.7,21.6,54.8,1681,6104,806,1699,242,904,37,571,0.278,0.342,0.464,0.806,114,,,,,,,,,,,,,,*3*D*59H7/4,
Jason Isringhausen,71,7,16,13,12,12.5,32.6,500,104,11,21,2,16,0,5,0.202,0.241,0.317,0.558,48,51,55,3.64,115,1.328,724,52,300,1007.2,901,85,437,830,*1,
Orlando Hudson,21,18,11,30.9,27.3,29.1,57,1345,4825,648,1319,93,542,85,483,0.273,0.341,0.412,0.752,97,,,,,,,,,,,,,,*4H/5D,
Mariano Rivera,214,30,19,56.3,28.7,42.5,32.6,73,3,0,0,0,1,0,1,0,0.25,0,0.25,-27,82,60,2.21,205,1,1115,10,652,1283.2,998,71,286,1173,*1,
Edgar Martinez,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5H/3,
Roy Halladay,127,45,16,64.2,50.6,57.4,61.6,115,275,15,34,0,12,0,4,0.124,0.136,0.131,0.267,-27,203,105,3.38,131,1.178,416,390,1,2749.1,2646,236,592,2117,*1,
Mike Mussina,121,54,18,82.8,44.5,63.6,61.6,22,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1,
Curt Schilling,171,46,20,79.5,48.6,64.1,61.6,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1/H,
Roger Clemens,332,73,24,139.2,65.9,102.6,61.6,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,
Barry Bonds,340,77,22,162.8,72.7,117.7,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78HD/9,
Larry Walker,148,58,17,72.7,44.7,58.7,57.2,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9H387/D45,
Omar Vizquel,120,42,24,45.6,26.8,36.2,55.3,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82,,,,,,,,,,,,,,*65H4/D379,
