Year,Rk,Name,YoB,Votes,X.vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,NumBallots,VeteransCommittee,NegroLeagues,position,method
2006,11,Dave Parker,10th,76,14.60%,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D78/34,0,0,520,0,0,RF,0
2006,12,Dave Concepcion,13th,65,12.50%,106,29,19,36.5,28.4,32.4,52.1,2488,8723,993,2326,101,950,321,736,0.267,0.322,0.357,0.679,88,0,0,0,NA,1.5,1,0,0,1.1,2,0,0,1,*6453/81,0,0,520,0,0,SS,0
2006,13,Don Mattingly,6th,64,12.30%,134,34,14,39.8,34.4,37.1,51.5,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D97/548,0,0,520,0,0,1B,0
2006,14,Orel Hershiser,1st,58,11.20%,90,34,18,52.7,38.4,45.5,57.9,521,810,65,163,0,50,8,27,0.201,0.23,0.242,0.472,31,204,150,3.48,112,1.261,510,466,5,3130.1,2939,235,1007,2014,*1,0,0,520,0,0,P,0
2006,15,Dale Murphy,8th,56,10.80%,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9372,0,0,520,0,0,CF,0
2006,16,Albert Belle,1st,40,7.70%,135,36,12,36.9,34,35.4,50.7,1539,5853,974,1726,381,1239,88,683,0.295,0.369,0.564,0.933,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*79D,0,0,520,0,0,LF,0
2006,17,Will Clark,1st,23,4.40%,84,42,15,53.2,34,43.6,51.5,1976,7173,1186,2176,284,1205,67,937,0.303,0.384,0.497,0.88,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D,0,0,520,0,0,1B,0
2006,18,Dwight Gooden,1st,17,3.30%,88,40,16,50.1,37.2,43.7,57.9,434,741,60,145,8,67,1,14,0.196,0.212,0.262,0.474,32,194,112,3.51,111,1.256,430,410,3,2800.2,2564,210,954,2293,*1,0,0,520,0,0,P,0
2006,19,Willie McGee,2nd,12,2.30%,84,23,18,30.9,26.1,28.5,54.8,2201,7649,1010,2254,79,856,352,448,0.295,0.333,0.396,0.729,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*97/3D6,0,0,520,0,0,CF,0
2006,20,Ozzie Guillen,1st,5,1.00%,31,17,16,17.7,17.6,17.6,52.1,1993,6686,773,1764,28,619,169,239,0.264,0.287,0.338,0.626,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/534D7,0,0,520,0,0,SS,0
